pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,Amount,Fraud
2015-01-27 13:08:24 UTC,-73.97332001,40.76380539,-73.98143005,40.74383545,1,11.23,0
2015-01-27 13:08:24 UTC,-73.98686218,40.71938324,-73.99888611,40.73920059,2,13.95,0
2011-10-08 11:53:44 UTC,-73.982524,40.75126,-73.979654,40.746139,3,20.56,0
2012-12-01 21:12:12 UTC,-73.98116,40.767807,-73.990448,40.751635,4,5.2,1
2012-12-01 21:12:12 UTC,-73.966046,40.789775,-73.988565,40.744427,1,136.52,1
2012-12-01 21:12:12 UTC,-73.960983,40.765547,-73.979177,40.740053,2,66.76,1
2011-10-06 12:10:20 UTC,-73.949013,40.773204,-73.959622,40.770893,3,4.33,1
2011-10-06 12:10:20 UTC,-73.777282,40.646636,-73.985083,40.759368,4,59.22,1
2011-10-06 12:10:20 UTC,-74.014099,40.709638,-73.995106,40.741365,3,12,0
2014-02-18 15:22:20 UTC,-73.969582,40.765519,-73.980686,40.770725,2,19.45,0
2014-02-18 15:22:20 UTC,-73.989374,40.741973,-73.9993,40.722534,1,20,0
2014-02-18 15:22:20 UTC,-74.001614,40.740893,-73.956387,40.767437,4,14.55,0
2010-03-29 20:20:32 UTC,-73.991198,40.739937,-73.997166,40.735269,1,12.32,0
2010-03-29 20:20:32 UTC,-73.982034,40.762723,-74.001867,40.761545,2,31.22,1
2011-10-06 03:59:12 UTC,-73.992455,40.728701,-73.983397,40.750149,3,22.43,1
2011-10-06 03:59:12 UTC,-73.983583,40.746993,-73.951178,40.785903,4,19.99,0
2012-07-15 16:45:04 UTC,-74.006746,40.731721,-74.010204,40.732318,3,20,0
2012-07-15 16:45:04 UTC,-73.976446,40.785598,-73.95222,40.772121,2,22,0
2012-07-15 16:45:04 UTC,-73.973548,40.763349,-73.972096,40.756417,1,17,0
2012-07-15 16:45:04 UTC,-73.970918,40.756025,-73.975954,40.755563,4,94,1
2014-10-29 02:09:56 UTC,-73.926071,40.705866,-73.941741,40.714789,1,21.12,0
2014-06-14 13:39:00 UTC,-73.970555,40.764702,-73.949132,40.7718,2,24.66,0
2014-06-14 13:39:00 UTC,-73.989102,40.73636,-73.992767,40.747767,3,12.44,0
2014-06-14 13:39:00 UTC,-74.003525,40.74848,-73.99152,40.76296,4,9.45,0
2014-06-14 13:39:00 UTC,-73.990352,40.759992,-74.015665,40.711682,1,66.78,1
2014-06-14 13:39:00 UTC,-73.989482,40.75745,-74.00085,40.762705,1,34.54,1
2014-06-14 13:39:00 UTC,-73.870785,40.773722,-73.741922,40.689945,2,12.92,0
2014-06-14 13:39:00 UTC,-73.992682,40.733877,-73.938852,40.80822,2,16.33,0
2014-06-14 13:39:00 UTC,-73.95402,40.778705,-73.950277,40.76881,4,12.22,0
2014-06-14 13:39:00 UTC,-73.972742,40.743432,-74.007125,40.710192,4,19.99,0
2014-06-14 13:39:00 UTC,-73.953515,40.771137,-73.947295,40.796792,3,80.45,1
2014-06-14 13:39:00 UTC,-73.99959,40.73863,-74.00512,40.72886,3,56.76,1
2014-06-14 13:39:00 UTC,-73.958925,40.763727,-73.958138,40.773337,4,33.65,0
2014-06-14 13:39:00 UTC,-73.96996,40.793912,-73.963747,40.768497,4,45.55,0
2014-06-14 13:39:00 UTC,-73.955135,40.780062,-73.96334,40.762677,3,83.45,0
2014-06-14 13:39:00 UTC,-73.981367,40.74415,-73.993107,40.73326,3,99.72,1
2014-06-14 13:39:00 UTC,-73.977608,40.749272,-73.979918,40.739127,2,105.33,1
2014-06-14 13:39:00 UTC,-74.005682,40.738755,-73.99507,40.73487,2,112.22,1
2014-06-14 13:39:00 UTC,-74.006635,40.74421,-73.988025,40.743882,1,160.34,1
